iter	Passed	Remaining
429	1749	2318
430	1752	2314
431	1757	2310
432	1760	2305
433	1764	2301
434	1768	2297
435	1772	2293
436	1776	2288
437	1780	2284
438	1784	2280
439	1788	2275
440	1791	2271
441	1796	2267
442	1800	2264
443	1804	2259
444	1808	2255
445	1812	2250
446	1815	2246
447	1819	2242
448	1823	2238
449	1827	2233
450	1832	2230
451	1836	2226
452	1839	2221
453	1844	2217
454	1848	2213
455	1851	2209
456	1856	2205
457	1860	2201
458	1864	2197
459	1868	2193
460	1872	2189
461	1875	2184
462	1879	2179
463	1883	2175
464	1887	2171
465	1891	2167
466	1895	2162
467	1900	2160
468	1904	2156
469	1908	2152
470	1912	2148
471	1916	2144
472	1920	2140
473	1924	2135
474	1929	2132
475	1932	2127
476	1936	2123
477	1941	2119
478	1944	2115
479	1949	2111
480	1952	2107
481	1957	2103
482	1961	2099
483	1965	2095
484	1969	2091
485	1973	2086
486	1977	2082
487	1981	2078
488	1984	2073
489	1988	2069
490	1992	2065
491	1997	2062
492	2002	2058
493	2006	2054
494	2009	2050
495	2013	2046
496	2018	2042
497	2021	2038
498	2026	2034
499	2030	2030
500	2033	2025
501	2038	2021
502	2042	2017
503	2046	2013
504	2050	2009
505	2054	2005
506	2058	2002
507	2063	1998
508	2067	1994
509	2071	1989
510	2075	1985
511	2078	1981
512	2082	1977
513	2086	1973
514	2091	1969
515	2096	1966
516	2100	1962
517	2104	1958
518	2108	1954
519	2112	1950
520	2117	1946
521	2121	1942
522	2125	1938
523	2129	1934
524	2133	1930
525	2137	1925
526	2141	1921
527	2145	1917
528	2149	1913
529	2152	1909
530	2157	1905
531	2161	1901
532	2165	1897
533	2169	1892
534	2172	1888
535	2176	1884
536	2180	1879
537	2184	1875
538	2188	1871
539	2192	1867
540	2196	1863
541	2199	1858
542	2203	1854
543	2207	1850
544	2211	1846
545	2215	1842
546	2219	1838
547	2223	1834
548	2227	1829
549	2231	1825
550	2235	1821
551	2239	1817
552	2243	1813
553	2247	1809
554	2251	1805
555	2255	1801
556	2259	1797
557	2263	1792
558	2267	1788
559	2271	1784
560	2274	1780
561	2278	1775
562	2282	1771
563	2287	1768
564	2292	1764
565	2296	1760
566	2300	1756
567	2304	1752
568	2308	1748
569	2312	1744
570	2316	1740
571	2320	1736
572	2324	1732
573	2328	1728
574	2332	1724
575	2336	1720
576	2340	1716
577	2345	1712
578	2349	1708
579	2353	1704
580	2357	1700
581	2361	1696
582	2365	1692
583	2369	1688
584	2373	1683
585	2377	1679
586	2381	1675
587	2385	1671
588	2389	1667
589	2393	1663
590	2397	1659
591	2400	1654
592	2404	1650
593	2408	1646
594	2412	1642
595	2417	1638
596	2421	1634
597	2425	1630
598	2429	1626
599	2433	1622
600	2437	1617
601	2440	1613
602	2444	1609
603	2448	1605
604	2452	1601
605	2456	1596
606	2460	1592
607	2464	1588
608	2467	1584
609	2471	1580
610	2476	1576
611	2479	1572
612	2485	1568
613	2489	1564
614	2493	1560
615	2497	1556
616	2501	1552
617	2505	1548
618	2509	1544
619	2514	1540
620	2517	1536
621	2521	1532
622	2525	1528
623	2529	1524
624	2533	1520
625	2537	1516
626	2541	1512
627	2546	1508
628	2549	1503
629	2553	1499
630	2557	1495
631	2561	1491
632	2566	1487
633	2569	1483
634	2573	1479
635	2577	1475
636	2581	1471
637	2585	1466
638	2589	1462
639	2593	1458
640	2597	1454
641	2600	1450
642	2604	1446
643	2608	1442
644	2612	1438
645	2616	1433
646	2620	1429
647	2624	1425
648	2628	1421
649	2631	1417
650	2635	1413
651	2639	1409
652	2644	1405
653	2647	1400
654	2651	1396
655	2655	1392
656	2659	1388
657	2663	1384
658	2667	1380
659	2671	1376
660	2677	1373
661	2681	1369
662	2685	1364
663	2689	1360
664	2693	1356
665	2697	1352
666	2701	1348
667	2705	1344
668	2710	1340
669	2713	1336
670	2717	1332
671	2721	1328
672	2725	1324
673	2728	1319
674	2732	1315
675	2736	1311
676	2741	1307
677	2745	1303
678	2749	1299
679	2753	1295
680	2757	1291
681	2760	1287
682	2764	1283
683	2768	1279
684	2773	1275
685	2776	1271
686	2780	1266
687	2784	1262
688	2788	1258
689	2792	1254
690	2796	1250
691	2799	1246
692	2804	1242
693	2808	1238
694	2811	1233
695	2815	1229
696	2819	1225
697	2823	1221
698	2826	1217
699	2830	1213
700	2834	1209
701	2839	1205
702	2843	1201
703	2847	1197
704	2851	1193
705	2855	1189
706	2859	1185
707	2863	1180
708	2867	1176
709	2872	1173
710	2876	1169
711	2880	1165
712	2885	1161
713	2889	1157
714	2892	1153
715	2897	1149
716	2901	1145
717	2905	1141
718	2909	1136
719	2912	1132
720	2916	1128
721	2921	1124
722	2925	1120
723	2929	1116
724	2933	1112
725	2937	1108
726	2941	1104
727	2945	1100
728	2950	1096
729	2954	1092
730	2958	1088
731	2962	1084
732	2966	1080
733	2970	1076
734	2974	1072
735	2978	1068
736	2982	1064
737	2986	1060
738	2990	1056
739	2994	1052
740	2998	1048
741	3002	1044
742	3006	1039
743	3010	1035
744	3014	1031
745	3017	1027
746	3021	1023
747	3025	1019
748	3029	1015
749	3033	1011
750	3037	1007
751	3041	1002
752	3045	998
753	3049	994
754	3052	990
755	3056	986
756	3060	982
757	3066	978
758	3070	974
759	3074	970
760	3078	966
761	3082	962
762	3086	958
763	3090	954
764	3094	950
765	3099	946
766	3102	942
767	3106	938
768	3110	934
769	3114	930
770	3118	926
771	3122	922
772	3126	918
773	3130	914
774	3134	910
775	3138	906
776	3142	902
777	3146	897
778	3150	893
779	3154	889
780	3158	885
781	3163	881
782	3167	877
783	3170	873
784	3175	869
785	3178	865
786	3182	861
787	3186	857
788	3190	853
789	3195	849
790	3199	845
791	3203	841
792	3207	837
793	3211	833
794	3215	829
795	3218	824
796	3222	820
797	3227	816
798	3231	812
799	3235	808
800	3239	804
801	3243	800
802	3247	796
803	3251	792
804	3254	788
805	3259	784
806	3264	780
807	3267	776
808	3271	772
809	3275	768
810	3279	764
811	3283	760
812	3287	756
813	3291	752
814	3295	748
815	3299	744
816	3303	739
817	3307	735
818	3310	731
819	3314	727
820	3318	723
821	3322	719
822	3326	715
823	3330	711
824	3334	707
825	3338	703
826	3342	699
827	3346	695
828	3350	691
829	3354	687
830	3358	683
831	3362	679
832	3366	674
833	3370	670
834	3374	666
835	3378	662
836	3382	658
837	3386	654
838	3390	650
839	3394	646
840	3397	642
841	3401	638
842	3405	634
843	3409	630
844	3413	626
845	3417	622
846	3421	618
847	3425	613
848	3429	609
849	3433	605
850	3436	601
851	3441	597
852	3444	593
853	3448	589
854	3453	585
855	3457	581
856	3462	577
857	3465	573
858	3470	569
859	3473	565
860	3477	561
861	3481	557
862	3485	553
863	3489	549
864	3493	545
865	3497	541
866	3501	537
867	3506	533
868	3510	529
